Date,Value
2000-09-30,7596.6333333
2000-08-31,7994.5806452
2000-07-31,7907.7419355
2000-06-30,8098.7666667
2000-05-31,7822.6129032
2000-04-30,7589.9333333
2000-03-31,7499.6774194
2000-02-29,6871.0689655
2000-01-31,6562.6451613
1999-12-31,7144.0322581
1999-11-30,7395.2
1999-10-31,7536.483871
1999-09-30,7476.8666667
1999-08-31,7790.4193548
1999-07-31,7842.4516129
1999-06-30,7865.6666667
1999-05-31,7444.7096774
1999-04-30,7366.5333333
1999-03-31,7121.3870968
1999-02-28,6838.75
1999-01-31,6244.5483871
1998-12-31,6977.516129
1998-11-30,7039.2666667
1998-10-31,7371.7096774
1998-09-30,7315.3666667
1998-08-31,7649.7741935
1998-07-31,7740.1290323
1998-06-30,7624.4333333
1998-05-31,7351.5806452
1998-04-30,7264.0333333
1998-03-31,6910.3870968
1998-02-28,6684.5357143
1998-01-31,6350.6451613
1997-12-31,6687.8064516
1997-11-30,6747.4
1997-10-31,7136.0967742
1997-09-30,7118.2333333
1997-08-31,7532.1290323
1997-07-31,7635.9032258
1997-06-30,7408.4666667
1997-05-31,7292.9677419
1997-04-30,7043.0
1997-03-31,6837.1612903
1997-02-28,6569.6428571
1997-01-31,6133.0967742
1996-12-31,6498.7741935
1996-11-30,6654.7666667
1996-10-31,6956.5806452
1996-09-30,6920.1333333
1996-08-31,7388.7096774
1996-07-31,7261.5806452
1996-06-30,7185.0333333
1996-05-31,7054.0645161
1996-04-30,6841.7666667
1996-03-31,6586.1935484
1996-02-29,6088.3448276
1996-01-31,5918.2258065
1995-12-31,6236.8064516
1995-11-30,6471.0333333
1995-10-31,6669.1935484
1995-09-30,6795.5333333
1995-08-31,7071.483871
1995-07-31,7006.0645161
1995-06-30,7045.6666667
1995-05-31,6857.6129032
1995-04-30,6607.1
1995-03-31,6491.1935484
1995-02-28,6109.0357143
1995-01-31,6252.8387097
1994-12-31,6228.6129032
1994-11-30,6335.8
1994-10-31,6544.0
1994-09-30,6683.7
1994-08-31,6936.9354839
1994-07-31,6928.3225806
1994-06-30,6909.3333333
1994-05-31,6664.3225806
1994-04-30,6513.5666667
1994-03-31,6328.7096774
1994-02-28,5944.4285714
1994-01-31,5461.7419355
1993-12-31,6026.7096774
1993-11-30,6077.4
1993-10-31,6380.4193548
1993-09-30,6458.8333333
1993-08-31,6762.3870968
1993-07-31,6768.9677419
1993-06-30,6647.1333333
1993-05-31,6644.5483871
1993-04-30,6291.2333333
1993-03-31,6060.2903226
1993-02-28,5815.8571429
1993-01-31,5538.0645161
1992-12-31,5838.6774194
1992-11-30,5912.6666667
1992-10-31,6285.0322581
1992-09-30,6363.6
1992-08-31,6604.9354839
1992-07-31,6665.0322581
1992-06-30,6574.4
1992-05-31,6345.9677419
1992-04-30,6202.3
1992-03-31,5928.3225806
1992-02-29,5524.2758621
1992-01-31,5408.1290323
1991-12-31,5573.6129032
1991-11-30,5656.4333333
1991-10-31,6078.8709677
1991-09-30,6119.8
1991-08-31,6582.6774194
1991-07-31,6399.5806452
1991-06-30,6448.9
1991-05-31,6191.2580645
1991-04-30,5984.6
1991-03-31,5776.6451613
1991-02-28,5476.8214286
1991-01-31,5093.1935484
1990-12-31,5439.3870968
1990-11-30,5718.8333333
1990-10-31,5891.4193548
1990-09-30,5947.1666667
1990-08-31,6356.6774194
1990-07-31,6305.483871
1990-06-30,6317.6333333
1990-05-31,6104.7419355
1990-04-30,5967.7666667
1990-03-31,5766.8064516
1990-02-28,5484.25
1990-01-31,5277.4193548
