CountryName,CountryCode,IndicatorName,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bulgaria,BGR,GDP per capita,5402.669571097,5161.908875237,4948.4809906258,5031.1999031013,5249.4811307172,5536.8511889719,5275.5702653251,5404.8001364959,6120.0696525496,5778.9666238801,6344.3363593098,6895.3699122419,7760.3354906155,8386.6750634862,9155.5894581613,10123.9738365074,11440.9073256142,13319.2437193032,14934.774464064,14870.8054059912,15084.3221603393,15603.0516627461,16097.8343137084,16573.4703399668,17207.5953349321,17511.7641146935
Burkina Faso,BFA,GDP per capita,530.785575625,582.3961199473,581.1943829525,599.1618032811,603.2795925066,633.4325126816,696.5098127687,732.4923129085,772.5805970939,819.0421535353,829.0523863576,878.6072474988,904.6273874867,966.30566165,1007.3682611015,1096.6888679596,1165.2742647632,1225.8508875071,1300.4980685277,1308.5460457183,1393.5627213063,1470.4351836995,1547.6493716972,1583.1618654762,1626.2669133017,1659.2202425027
Burundi,BDI,GDP per capita,678.1205631558,717.0176241775,723.7173334364,680.3034550494,655.7380116408,606.0243610827,559.2600748806,552.203539722,576.492764092,569.6248028227,565.357932486,574.8682608337,591.4940158961,576.4781864374,599.8560985996,603.2655406378,632.6474358402,656.8677488972,679.0614557137,683.4686854147,693.4700034419,712.670483389,730.0335655961,750.7058449354,772.69512224,736.0118338823
Cabo Verde,CPV,GDP per capita,1072.8812073977,1098.1885683449,1214.28083713,1314.9329228871,1556.829979349,1766.6892573957,1951.1554196893,2149.7910368613,2386.4439459465,2634.0835713945,3014.5724632123,3091.3429895835,3245.2959458977,3393.9942958994,3791.2192324446,4137.4861586386,4566.1662232741,5365.0426856591,5803.3860024257,5739.3762548275,5850.1453283117,6147.9745339426,6256.8008425456,6344.3429434991,6543.3529622058,6689.8113903954
Cambodia,KHM,GDP per capita,,,,707.080349844,761.349308496,801.0642920562,834.2719347371,871.2148740448,900.7307851488,998.824605092,1086.5525765807,1176.4427683989,1250.9654461295,1360.912011446,1518.0862156774,1746.8788250575,1964.2117636435,2189.5041683985,2346.8039649958,2331.4253085181,2462.4527897017,2648.6500184987,2846.6574446984,3058.6684865224,3274.5607323951,3483.3267131986
Cameroon,CMR,GDP per capita,1789.2583734908,1726.9019473478,1662.5049050285,1522.7427466119,1542.9811231213,1595.1226765934,1657.8904566896,1728.4585354681,1784.3888182316,1836.0010134729,1905.3709587124,1984.2379356051,2041.7601218649,2111.1642517873,2192.3497460802,2256.1973583548,2339.8072592829,2417.7489258123,2472.4695325639,2475.6056713338,2522.8818099501,2614.4955614763,2715.3541102736,2840.7430745418,2983.0830403003,3122.643964698
Canada,CAN,GDP per capita,20084.5736126121,20041.947828627,20429.7405427102,21233.313118075,22448.0254745701,23340.8377687738,23888.3007783263,25070.6781809224,26106.6316936167,27656.6769217414,29187.5187509629,30086.5627969453,30851.3114815056,32186.226856963,33752.2133883015,36134.6022423077,37956.8142510326,39417.5319769237,40277.6193121099,38746.2502780317,40069.4709625183,41565.2712210369,42143.9687843089,44281.2691757085,45025.0261369835,44310.1210825094
Cayman Islands,CYM,GDP per capita,,,,,,,,,,,,,,,,,,,,,,49902.1465489682,,,,
Chad,TCD,GDP per capita,717.572659276,779.4670461478,834.0484313193,697.0841967863,759.0252590723,758.8338809906,763.5820164671,792.9518858185,827.8913117753,805.4920752371,787.1532209928,865.7177219427,917.7863182366,1033.548659761,1366.9319587367,1596.6895895853,1599.8912749111,1640.2025869127,1667.6973926046,1694.8215714974,1884.795826912,1862.3511659472,1997.4109391126,2075.4408802189,2181.8524552441,2171.4008123495
Channel Islands,CHI,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP per capita,4407.2044786133,4887.0333906434,5579.5259291718,6077.8371874945,6528.1776485721,7338.5229269207,7993.2524829495,8599.4166312907,8907.9835301663,8846.429620416,9848.8983965929,10249.826491738,10535.5604132836,11133.5707278671,11991.2725338787,12964.8049395778,15637.6964386248,16841.5600258445,16437.5720869418,16226.1486790103,18249.5407673741,20266.0360287483,21370.0993066395,21443.7503564815,22128.5576684484,22316.207696515
China,CHN,GDP per capita,979.9789831937,1091.4488305591,1260.1625002998,1453.1591182585,1659.3129157896,1859.8304175497,2060.0297075228,2265.313589375,2446.1499329113,2649.745162403,2915.4146646915,3205.9274723279,3527.3519036439,3933.599477149,4422.6503206409,5053.3790401953,5836.8327726277,6807.112205271,7569.6798915986,8290.0889298098,9238.7552696794,10274.4943512259,11219.927669958,12218.5211184044,13254.642984356,14238.6693392857
Colombia,COL,GDP per capita,4869.162130875,5050.7192517336,5327.8853533915,5485.4992631762,5827.9966452943,6155.688368058,6294.865167663,6520.0370034659,6528.9006730148,6256.8101810412,6585.3339751501,6750.6871387657,6927.3209193261,7241.331945492,7732.3205621184,8248.3549606731,8957.336622113,9710.9011829945,10132.2394853533,10260.2052170834,10680.0020763025,11496.5272523381,12058.461303685,12727.0991715943,13376.6306574434,13800.7866254197
Comoros,COM,GDP per capita,989.8340592989,939.5062511553,1012.823224033,1037.6020917774,975.5235021299,1003.2817969626,980.9813107968,1010.2255847988,1007.1369357777,1015.4246018546,1122.2127659873,1145.637355876,1161.5085062892,1180.7219298711,1207.0550469442,1250.669241432,1291.5186626037,1304.4146222794,1303.1975224046,1306.4400092357,1318.8958909247,1347.7977532112,1379.7159873409,1416.4622027816,1434.5005240589,
Congo Rep.,COG,GDP per capita,3397.5860712039,3501.3711409354,3580.0674048229,3535.9811910175,3324.4398868254,3436.5492319792,3552.014033533,3493.1139440735,3564.540556007,3433.8233694735,3684.1000830733,3819.679365649,3965.1232778531,3985.6677965471,4137.0219477913,4482.4535913693,4770.0578907054,4675.4567060219,4879.038555695,5125.4506135539,5482.1113761029,5632.4358754563,5803.0888001308,5950.4686201834,6299.6843529535,6368.1212846087
Costa Rica,CRI,GDP per capita,4712.5592311164,4869.3659957335,5299.643773121,5682.253893704,5927.4007388854,6135.6237322696,6152.650692261,6452.758939614,6911.702668687,7433.9297061962,7588.7260002714,7705.1608197055,7918.9203071516,8463.3804626793,8934.2688561953,9624.7969103261,10638.8368943628,11624.9687277958,12011.7309800336,11823.1920282355,12402.9592880253,13072.1425592889,13839.4689225844,14386.8967743366,14972.5843150574,15377.2295688962
Cote d'Ivoire,CIV,GDP per capita,2081.512055299,2077.3874286667,2047.1006850307,2021.6129749378,2013.6517781541,2133.2488107621,2269.5252536865,2325.2403395736,2398.6135841827,2411.9400575907,2360.2061393654,2367.1340178254,2319.3775966242,2292.6279436614,2343.0292700393,2415.2504365955,2478.8382265858,2538.1316769177,2598.6899859144,2645.4306342804,2671.1395529633,2546.9068123046,2803.7009371287,3037.257692134,3270.1373889782,3495.8297464671
Croatia,HRV,GDP per capita,,,,,,8109.0123849145,9127.3683960373,9712.8278726314,10207.8383790522,10102.1657905636,11054.4210816656,11793.2002324794,12740.1121215417,13644.6131995701,14643.2525335966,15535.4407056654,17009.2199303701,18921.6247387593,20464.4182063097,19393.1114143786,18981.9956442935,20571.2752844948,21016.0187293145,21441.8709467416,21635.1050289927,21880.484213538
Cuba,CUB,GDP per capita,8851.151197253,8104.6525266583,7280.8317157876,6308.7282457541,6455.7684828951,6719.7799456244,7345.594523436,7647.9354063068,7713.8991283739,8287.8561059085,8948.6026989631,9414.4136372968,9666.8291895195,10205.7586035578,11066.0451525836,12678.6044781653,14626.5246452203,16093.6291378528,17075.4913554672,17443.3629479558,18061.0096420539,18924.7632701642,19820.9769832893,20648.9739057436,,
Curacao,CUW,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,GDP per capita,13189.5119961489,13378.4782225662,14576.680256834,14669.4059797883,15540.7335115621,16530.1909249246,16877.3031488255,17345.3304674037,18340.1206780524,19211.7195694144,20726.6273069784,22353.3007402251,22994.5400766268,23829.7318894555,25595.9811078178,27330.8819148951,29706.2878399128,31767.0524574202,34825.5775570815,34087.7590143959,33957.90164873,32983.1851844809,31920.4454737569,30587.4243464573,30295.2127792148,30734.1751962539
Czech Republic,CZE,GDP per capita,12716.2688532518,11641.2959228467,11834.2475906565,12110.7209486736,12723.6922830551,13805.6323362819,14685.0926731041,14892.6604820271,14969.2547932178,15387.3753011263,16282.4733675171,17650.2899431094,18318.354946634,19609.2694182832,20984.6558468146,22286.457189578,24400.7269621544,26680.4978472942,27111.5481990756,27008.8068634707,27069.6339673463,28604.2126636231,28727.9072629398,30043.5678004092,31185.8787015268,32167.0578372756
Dem. Rep. Congo,COD,GDP per capita,,746.5841730486,656.7518966349,559.1560782934,528.7577810993,525.7872596506,514.7595533257,481.5914621422,467.4798297864,443.2927606976,410.9759540621,399.8600909085,405.4826843636,423.0995118612,449.3959026306,476.7372049779,501.1154329835,529.2218733929,554.8883648813,556.7280750855,584.2600547914,617.1479613595,652.3885874384,696.9772632641,748.0066052515,782.7714507787
Denmark,DNK,GDP per capita,18773.2194047768,19599.4161627151,20374.7156221284,20771.4715483088,22310.1771178771,23351.6353620033,24451.9549811114,25682.5197172875,26608.8013525839,27544.0065605429,29558.2946332122,30247.1963804605,31597.6898560098,31268.8764680477,33143.7631674657,34079.9597620429,37166.5736909177,38670.4976585439,40838.1887464738,39612.1276267663,41835.7966506369,43314.0563639927,44246.3306156663,45681.1093434609,45995.8727101234,46635.2447330723
Djibouti,DJI,GDP per capita,2011.6695827945,1916.9797860318,1909.1063304316,1790.4248600223,1781.6672134323,1725.6470953267,1654.4862800669,1639.9421944541,1629.4151171184,1660.912953389,1677.6612563283,1723.5378118487,1768.428111176,1833.8638188747,1928.3882154296,2025.1342701383,2158.3308586759,2298.5699587323,2447.9538075139,2557.6397074025,2644.6282288459,2782.9712917907,2932.2333423406,3087.4633171316,3282.3602405341,
Dominica,DMA,GDP per capita,4344.9150904142,4521.865914245,4711.0554832257,4888.5836177769,5052.2305892944,5259.8204498043,5514.4072843488,5723.7793177409,6113.7572415735,6284.8686548881,6472.6555712847,6653.2953728706,6623.1168488068,7248.3046133776,7660.4758829408,7875.6832054313,8337.9734194111,9090.5009593465,9909.98267273,9852.9013187671,10016.2463687438,10189.3982094128,10206.274383357,10387.8599483779,10917.074249073,11277.9282163603
Dominican Republic,DOM,GDP per capita,3440.5977916342,3519.1324361252,3901.635195117,4202.5538167896,4310.6580924789,4560.3390342436,4890.0480045987,5283.4396522645,5623.6462895877,5997.179025472,6379.5576664312,6540.2565080346,6917.5297199042,6931.2788802837,7108.1120236497,7899.6381921296,8882.5897876836,9753.3602411881,10116.6465160674,10150.6162610657,10981.1765999168,11375.6203912161,11740.0536291201,12347.8207509843,13310.753009608,14211.7245518375
Ecuador,ECU,GDP per capita,4829.4195591217,5083.4690205016,5187.9341378176,5294.7409064461,5514.1794461133,5633.1758921918,5714.0267205754,5940.5522510305,6079.388542708,5768.5356562761,5855.63475391,6120.9318482491,6360.9706795352,6555.3732350639,7169.973366211,7664.2898308138,8110.479753843,8366.1301317469,8920.4773640054,8889.1923485644,9163.1579093806,9926.9524958515,10512.4366955457,10997.8188746584,11413.2129728622,11388.1569035469
Egypt  Arab Rep.,EGY,GDP per capita,3887.2415325778,3968.9973357615,4150.7332999142,4286.4540628001,4465.1059959447,4681.0982285505,4912.9775206463,5177.1133357683,5348.0636203495,5659.2477198782,5989.6634799297,6227.4508461944,6353.4659165642,6563.1710634579,6890.9700256869,7297.2657607392,7895.792083536,8531.592455286,9159.3153799509,9485.1803549904,9897.7485512574,10071.2052571796,10252.5229815309,10402.0038381834,10571.335258205,10891.2577498598
El Salvador,SLV,GDP per capita,2929.3666349152,3094.1830687714,3358.9015506319,3645.1307959095,3900.6789424225,4190.7088303415,4297.9883943798,4518.0012391974,4702.0787061406,4904.848180872,5092.5485884431,5267.792374034,5446.314437556,5657.0390695515,5896.0160655439,6279.1132609064,6702.2729621229,7122.3363181913,7332.798992948,7136.595021102,7301.806596988,7596.5091309992,7859.8607302511,8112.2843467725,8338.3303441977,8602.0664930947
Equatorial Guinea,GNQ,GDP per capita,682.2971737252,674.5311673167,898.1001412251,985.9549623616,1134.6787193904,1314.9538672446,2155.8470271189,5298.5882250096,6409.1643235872,7906.1964356616,9242.9153472127,14935.6854873307,17521.0773924362,19701.1683729375,27039.6115080216,31560.3426759465,33959.2066493964,37954.1792785089,41267.1336663916,38519.9873963727,36389.8480611381,36754.8104741979,38416.1635186061,35432.2691192544,34870.5798687516,30040.6510685835
Eritrea,ERI,GDP per capita,,,748.7916633899,872.4594334717,1081.123723734,1129.3987357584,1241.3885679807,1338.2508308756,1345.146258518,1329.1041004172,1277.3450602517,1374.2499970969,1386.6258788737,1327.699789143,1337.5207959526,1373.4212697638,1365.0391262974,1388.5052495439,1250.4672979146,1282.3338457088,1299.289896426,1411.1576379111,,,,
Estonia,EST,GDP per capita,,,,,,6352.2438967711,6956.6565083439,8003.7499390724,8479.3600399068,8776.2743236568,9706.9281979421,10548.5140328629,11805.4691998888,13237.356752152,14664.4024724071,16560.5022328626,19299.0784112394,21836.4122934343,22508.9284050416,20206.1807067891,21113.1196108327,23954.8659685125,25921.0285969625,27169.2866515858,28139.9394406363,28094.8049532218
Ethiopia,ETH,GDP per capita,421.6368043848,390.5334758207,351.9444122747,393.3792814116,400.4256013951,419.6461615327,465.4488020997,473.6835828637,448.8913700687,465.6063997,490.727655695,528.0815435729,528.8598819702,512.8753943464,581.8370686403,653.1160506035,725.9606023289,808.5189863298,889.2679648391,949.4938972509,1053.796725279,1165.216838482,1256.6822081201,1376.9647384008,1505.2389777443,1625.6132616468
Faroe Islands,FRO,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,GDP per capita,4033.7995719569,4017.7935992552,4306.9681211304,4440.7967070427,4700.3521284619,4855.9896132851,5122.6557411072,5041.8446713726,5114.7248982278,5606.6856357956,5603.924919693,5824.7821033941,6092.4099396422,6268.8491403096,6768.2798722687,7005.2998758283,7304.7711502213,7370.0112233745,7515.8658899869,7392.1654013834,7630.9888464818,7486.7614370022,7688.7778655415,8173.4192053694,8824.6089770173,9158.9871878827
Finland,FIN,GDP per capita,17906.1394804034,17313.0364938281,17023.0575629767,17216.5708852138,18196.9904511362,19284.3184350073,19817.9052163328,21572.597805293,23267.5123952751,24501.7799104739,26465.7521960602,27541.9410224649,28421.2398938674,28816.1192599611,31084.2892191989,32065.1707160028,34502.2665620973,37505.1309354446,39729.648543659,37534.5019282014,38322.9267423552,40251.3735098925,40437.5938723363,40951.5132351015,40693.7512405515,40600.9189208876
France,FRA,GDP per capita,17505.2919840021,18261.3921863597,18882.3260805587,19130.0826657557,19921.1267515082,20685.7857268964,21288.2996421254,22220.0292986754,23321.0934076335,24249.7116642788,25972.1999010763,27427.5913544085,28503.5667367152,28093.4086044674,29028.1822465162,30375.5606760951,32267.0140642839,34034.3851783839,35141.8379392758,34797.474085009,35891.2938160199,37325.3043394949,37462.3250299433,39157.6713277253,39163.1945015004,39677.992121419
French Polynesia,PYF,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,GDP per capita,12603.2051835089,13451.6837839565,12983.5016278471,13458.5042889638,13888.0622797604,14501.7490277285,14911.5751786557,15631.0953565715,15942.2222388724,14381.1748547885,14090.046627668,14381.5255599484,14241.0243718271,14525.7852032332,14699.893371138,15418.5728414042,14976.1285621503,15884.1750027699,15310.9890255941,15102.1649035054,16004.0545161551,17100.7005205501,17919.0644839789,18808.2860153596,19501.1176390943,20010.1397549695
Georgia,GEO,GDP per capita,5181.4507801948,4194.6275125058,2345.6874967632,1684.8597023802,1557.4593903288,1675.2508754867,1945.3353360497,2227.5389009184,2344.5467437055,2467.8652166925,2590.3185682851,2796.8557956573,3015.4477232273,3460.1508473809,3813.1893139655,4370.3386133503,4991.6179090982,5833.1837824876,6163.757922649,6054.1891802557,6597.5685567345,7315.0908976643,8026.5071295653,8543.0804111873,9204.3186730589,9679.187610524
Germany,DEU,GDP per capita,19032.6960596972,20520.7393997643,21230.2483633016,21386.5010733753,22300.8680882488,23093.6007976579,23655.819878193,24183.8620965957,24871.240907287,25798.2798999652,26630.511188423,27725.1101362828,28435.9013788939,29362.4250705971,30694.9023377929,32184.0552318691,34690.3332182257,36777.7830596791,38438.7411526805,37112.8806127286,39639.4799659111,42142.5488974642,43600.1134007712,44184.8230352597,46393.8765153842,47268.4336786881
Ghana,GHA,GDP per capita,1240.6987311789,1312.5195015824,1355.8690368507,1415.5864910809,1453.9264852992,1506.4153084145,1566.36395721,1622.2917979974,1678.7180971025,1739.1938851022,1801.4146091972,1869.6058411627,1934.169985909,2022.4586630206,2138.0984526183,2277.11342968,2433.3060783865,2539.9863278914,2754.8837548917,2837.0142410633,3021.4849762555,3430.8573886729,3726.6439391106,3968.0564478655,4096.5844938533,4200.5471023152
Gibraltar,GIB,GDP per capita,,,,,,,,,,,,,,,,,,,,,,,,,,
