CountryName,CountryCode,IndicatorName,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cayman Islands,CYM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2999992371,,,29.3999996185,,,,33.9000015259,,,,,,30.2999992371,,,,
Channel Islands,CHI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Prevalence of underweight,,,,,,,,,,,3.2999999523,2.5999999046,1.8999999762,1.6000000238,1.2999999523,1.1000000238,1,1,0.8000000119,,2.2000000477,,,,,,,,0.8000000119,0.8000000119,0.6999999881,,0.6999999881,0.6999999881,,0.6999999881,0.6999999881,0.6000000238,0.6000000238,,0.6000000238,0.6000000238,0.5,,,,,0.5,0.5
China,CHN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,18.7000007629,,,12.6000003815,,14.1999998093,,,10.6999998093,,,6.9000000954,,7.4000000954,,6.8000001907,,,4.5,,,5.0999999046,4.5999999046,3.4000000954,,,,
Colombia,COL,Prevalence of underweight,18.6,,,,,,,,,,,,,14.6999998093,,,,,,,8.6000003815,,,8.8000001907,,,,,,6.3000001907,,,,,4.9000000954,,,,,5.0999999046,,,,,3.4000000954,,,,
Comoros,COM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2000007629,,,,22.2999992371,,,,25,,,,,,,,,,,,16.8999996185,,
Congo Rep.,COG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,21.1000003815,,,,,,,,,,,,,,,,,,11.8000001907,,,,,,11.8000001907,,,
Costa Rica,CRI,Prevalence of underweight,,,,,,,,,,,,,,,,,5.5,,,,,,,2.4000000954,2.5,2.2000000477,2,2,1.8999999762,,4.5,,,,,,,,,,,,1.1000000238,,,,,,
Cote d'Ivoire,CIV,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,10.8000001907,,,,,,,,20.8999996185,,,,18.2000007629,,,,,,,,16.7000007629,29.3999996185,,,,,15.6999998093,,
Croatia,HRV,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000000238,0.5,0.5,,,,,,,,,,,,,,,,,,
Cuba,CUB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4000000954,,,,,,,,,,,,,,
Curacao,CUW,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,0.8999999762,,,,,,,,,,2.0999999046,,,,,,,,,,,,,
Dem. Rep. Congo,COD,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7000007629,,,,,,33.5999984741,,,,,,28.2000007629,,,24.2000007629,,,23.3999996185,
Denmark,DNK,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,20.2000007629,,,,,,,16,,,,,,25.3999996185,,,,29.6000003815,,,,,,29.7999992371,,
Dominica,DMA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,9.3000001907,,,,,8.3999996185,,,,,4.6999998093,,,,3.5,,4.1999998093,,,,4.5999999046,3.4000000954,,,,,,4,
